Dresses draft,Prepare the dresses for the show.,2023-10-01,2023-10-31,Vintage Winter Fashion Show,We're designers,Active
Fitting,Fitting dresses with the models.,2023-10-01,2023-10-31,Vintage Winter Fashion Show,We're designers,Active
Choose style,Prepare style for models.,2023-10-01,2023-10-31,Vintage Winter Fashion Show,Make up artist,Active
Rehearsal models,Prepare the model for the runway.,2023-10-01,2023-10-31,Vintage Winter Fashion Show,Models,Active
Meeting designers,Meeting the designer for fitting.,2023-10-01,2023-10-31,Vintage Winter Fashion Show,Models,Active
The Fashion Show,Our runway show will full with you and the models.,2023-10-01,2023-10-31,Vintage Winter Fashion Show,-,Active
Afterr party,After party for the hard work.,2023-10-01,2023-10-31,Vintage Winter Fashion Show,-,Active
Sad Songs Day,Sad together with our saddest song,2023-10-15,2023-10-31,Music together,-,Active
Love Songs Day,In love together with our loveliest song.,2023-10-01,2023-10-30,Music together,-,Active
Saddest Song Select,Pick saddest song ever.,2023-10-15,2023-10-31,Music together,Song staff,Active
Drinks for us,All the drinks have to be prepare.,2023-10-01,2023-10-31,Music together,Drinks staff,Active
Loveliest Song Select,For the love of god this lovely song make you melt.,2023-10-01,2023-10-31,Music together,Song staff,Active
Dance Battle,Dance competition activities.,2023-10-15,2023-10-15,Kpop Dance Jam,-,Active
Staff duties,Take care of the participants and organize work.,2023-10-01,2023-10-31,Kpop Dance Jam,Staff,Active
Random Dance,Random dance kpop music.,2023-10-19,2023-10-19,Kpop Dance Jam,-,Active
Special Show1,Special show from ENHYPEN.,2023-10-29,2023-10-29,Kpop Dance Jam,-,Active
Special Show2,Special Show from NCT.,2023-10-22,2023-10-22,Kpop Dance Jam,-,Active
Kpop Quiz,Answer questions about kpop to get rewards.,2023-10-14,2023-10-14,Kpop Dance Jam,-,Active
Find location,Gather and find the best location for our event.,2023-10-01,2023-10-31,Music together,Location staff,Active
Sound check,Each singer has to have a sound check with musicians.,2023-10-01,2023-10-31,Music together,Singers,Active
Prepare song,prepare song for each singer.,2023-10-01,2023-10-31,Music together,Musician staff,Active
